Allocate Platform - Train: 758, Platform: 5
Allocate Platform - Train: 589, Platform: 5
Allocate Platform - Train: 725, Platform: 5
Allocate Platform - Train: 587, Platform: 5
Allocate Platform - Train: 1, Platform: 1
Allocate Platform - Train: 1, Platform: 1
Deallocate Platform - Train: 1
Allocate Platform - Train: 768, Platform: 4
Allocate Platform - Train: 1546, Platform: 4
Allocate Platform - Train: 1564, Platform: 4
Allocate Platform - Train: 4, Platform: 4
Allocate Platform - Train: 458J, Platform: 4
